datasetID,accessible,institution,dataStructure,cdm_data_type,class,title,minLongitude,maxLongitude,longitudeSpacing,minLatitude,maxLatitude,latitudeSpacing,minAltitude,maxAltitude,minTime,maxTime,timeSpacing,griddap,subset,tabledap,MakeAGraph,sos,wcs,wms,files,fgdc,iso19115,metadata,sourceUrl,infoUrl,rss,email,testOutOfDate,outOfDate,summary
,,,,,,,degrees_east,degrees_east,degrees_east,degrees_north,degrees_north,degrees_north,m,m,UTC,UTC,seconds,,,,,,,,,,,,,,,,,,
v2022_1d46_b28f_7ab9,public,INFO SOCAT,grid,Grid,EDDGridFromNcFiles,SOCAT gridded v2022 Decadal 1x1 degree gridded dataset,-179.5,179.5,1.0,-89.5,89.5,1.0,NaN,NaN,1975-01-01T00:00:00Z,2015-01-01T00:00:00Z,3.15576E8,/erddap/griddap/v2022_1d46_b28f_7ab9,,,/erddap/griddap/v2022_1d46_b28f_7ab9.graph,,,/erddap/wms/v2022_1d46_b28f_7ab9/request,/erddap/files/v2022_1d46_b28f_7ab9/,/erddap/metadata/fgdc/xml/v2022_1d46_b28f_7ab9_fgdc.xml,/erddap/metadata/iso19115/xml/v2022_1d46_b28f_7ab9_iso19115.xml,/erddap/info/v2022_1d46_b28f_7ab9/index,(local files),http://www.socat.info/,http://sour.pmel.noaa.gov:8930/erddap/rss/v2022_1d46_b28f_7ab9.rss,/erddap/subscriptions/add.html?datasetID=v2022_1d46_b28f_7ab9&showErrors=false&email=,,NaN,"Surface Ocean Carbon Atlas (SOCAT) Gridded (binned) SOCAT observations, with a spatial grid of \n1x1 degree and yearly in time. The gridded fields are computed from the monthly 1-degree gridded data, \nwhich uses only SOCAT datasets with Quality Control (QC) flags of A through D and SOCAT data points flagged with World Ocean Circulation Experiment (WOCE) \nflag values of 2. This decacal data is computed using data from the start to the end of each decade as \ndescribed in the summary attribute of each variable. The first decade is 1-Jan-1970 through 31-Dec-1979, \nthe last decade is generally a partial decade."
v2022_e06c_50ba_22c8,public,INFO SOCAT,grid,Grid,EDDGridFromNcFiles,SOCAT gridded v2022 Monthly 1x1 degree gridded dataset,-179.5,179.5,1.0,-89.5,89.5,1.0,NaN,NaN,1970-01-16T12:00:00Z,2021-12-16T12:00:00Z,2629721.990369181,/erddap/griddap/v2022_e06c_50ba_22c8,,,/erddap/griddap/v2022_e06c_50ba_22c8.graph,,,/erddap/wms/v2022_e06c_50ba_22c8/request,/erddap/files/v2022_e06c_50ba_22c8/,/erddap/metadata/fgdc/xml/v2022_e06c_50ba_22c8_fgdc.xml,/erddap/metadata/iso19115/xml/v2022_e06c_50ba_22c8_iso19115.xml,/erddap/info/v2022_e06c_50ba_22c8/index,(local files),http://www.socat.info/,http://sour.pmel.noaa.gov:8930/erddap/rss/v2022_e06c_50ba_22c8.rss,/erddap/subscriptions/add.html?datasetID=v2022_e06c_50ba_22c8&showErrors=false&email=,,NaN,"Surface Ocean Carbon Atlas (SOCAT) Gridded (binned) SOCAT observations, with a spatial \ngrid of 1x1 degree and monthly in time. The gridded fields are computed using only SOCAT \ndatasets with Quality Control (QC) flags of A through D and SOCAT data points flagged with World Ocean Circulation Experiment (WOCE) flag values of 2."
v2022_f562_aca9_bb36,public,INFO SOCAT,grid,Grid,EDDGridFromNcFiles,SOCAT gridded v2022 Monthly quarter-degree Coastal gridded dataset,-179.875,179.875,0.25,-89.875,89.875,0.25,NaN,NaN,1970-01-16T12:00:00Z,2021-12-16T12:00:00Z,2629721.990369181,/erddap/griddap/v2022_f562_aca9_bb36,,,/erddap/griddap/v2022_f562_aca9_bb36.graph,,,/erddap/wms/v2022_f562_aca9_bb36/request,/erddap/files/v2022_f562_aca9_bb36/,/erddap/metadata/fgdc/xml/v2022_f562_aca9_bb36_fgdc.xml,/erddap/metadata/iso19115/xml/v2022_f562_aca9_bb36_iso19115.xml,/erddap/info/v2022_f562_aca9_bb36/index,(local files),http://www.socat.info/,http://sour.pmel.noaa.gov:8930/erddap/rss/v2022_f562_aca9_bb36.rss,/erddap/subscriptions/add.html?datasetID=v2022_f562_aca9_bb36&showErrors=false&email=,,NaN,"Surface Ocean Carbon Atlas (SOCAT) Gridded (binned) SOCAT observations, masked for coastal data only, \nwith a spatial grid of quarter-degree and monthly in time. The gridded fields are computed using only \nSOCAT cruises with Quality Control (QC) flags of A through D and SOCAT data points flagged with World Ocean Circulation Experiment (WOCE) flag values of 2. \nThe grid is monthly in time and quarter-degree in longitude and latitude. A coastal mask is applied to \nmatch the 400-Km coastal region of the SOCAT database."
v2023_7c13_4a66_d089,public,INFO SOCAT,grid,Grid,EDDGridFromNcFiles,SOCAT gridded v2023 Decadal 1x1 degree gridded dataset,-179.5,179.5,1.0,-89.5,89.5,1.0,NaN,NaN,1975-01-01T00:00:00Z,2024-12-31T12:00:00Z,3.15576E8,/erddap/griddap/v2023_7c13_4a66_d089,,,/erddap/griddap/v2023_7c13_4a66_d089.graph,,,/erddap/wms/v2023_7c13_4a66_d089/request,/erddap/files/v2023_7c13_4a66_d089/,/erddap/metadata/fgdc/xml/v2023_7c13_4a66_d089_fgdc.xml,/erddap/metadata/iso19115/xml/v2023_7c13_4a66_d089_iso19115.xml,/erddap/info/v2023_7c13_4a66_d089/index,(local files),http://www.socat.info/,http://sour.pmel.noaa.gov:8930/erddap/rss/v2023_7c13_4a66_d089.rss,/erddap/subscriptions/add.html?datasetID=v2023_7c13_4a66_d089&showErrors=false&email=,,NaN,"Surface Ocean Carbon Atlas (SOCAT) Gridded (binned) SOCAT observations, with a spatial grid of \n1x1 degree and yearly in time. The gridded fields are computed from the monthly 1-degree gridded data, \nwhich uses only SOCAT datasets with Quality Control (QC) flags of A through D and SOCAT data points flagged with World Ocean Circulation Experiment (WOCE) \nflag values of 2. This decacal data is computed using data from the start to the end of each decade as \ndescribed in the summary attribute of each variable. The first decade is 1-Jan-1970 through 31-Dec-1979, \nthe last decade is generally a partial decade."
v2023_7c40_df73_d325,public,INFO SOCAT,grid,Grid,EDDGridFromNcFiles,SOCAT gridded v2023 Monthly 1x1 degree gridded dataset,-179.5,179.5,1.0,-89.5,89.5,1.0,NaN,NaN,1970-01-16T12:00:00Z,2022-12-16T12:00:00Z,2629689.448818898,/erddap/griddap/v2023_7c40_df73_d325,,,/erddap/griddap/v2023_7c40_df73_d325.graph,,,/erddap/wms/v2023_7c40_df73_d325/request,/erddap/files/v2023_7c40_df73_d325/,/erddap/metadata/fgdc/xml/v2023_7c40_df73_d325_fgdc.xml,/erddap/metadata/iso19115/xml/v2023_7c40_df73_d325_iso19115.xml,/erddap/info/v2023_7c40_df73_d325/index,(local files),http://www.socat.info/,http://sour.pmel.noaa.gov:8930/erddap/rss/v2023_7c40_df73_d325.rss,/erddap/subscriptions/add.html?datasetID=v2023_7c40_df73_d325&showErrors=false&email=,,NaN,"Surface Ocean Carbon Atlas (SOCAT) Gridded (binned) SOCAT observations, with a spatial \ngrid of 1x1 degree and monthly in time. The gridded fields are computed using only SOCAT \ndatasets with Quality Control (QC) flags of A through D and SOCAT data points flagged with World Ocean Circulation Experiment (WOCE) flag values of 2."
v2023_ae49_5d64_2806,public,INFO SOCAT,grid,Grid,EDDGridFromNcFiles,SOCAT gridded v2023 Monthly quarter-degree Coastal gridded dataset,-179.875,179.875,0.25,-89.875,89.875,0.25,NaN,NaN,1970-01-16T12:00:00Z,2022-12-16T12:00:00Z,2629689.448818898,/erddap/griddap/v2023_ae49_5d64_2806,,,/erddap/griddap/v2023_ae49_5d64_2806.graph,,,/erddap/wms/v2023_ae49_5d64_2806/request,/erddap/files/v2023_ae49_5d64_2806/,/erddap/metadata/fgdc/xml/v2023_ae49_5d64_2806_fgdc.xml,/erddap/metadata/iso19115/xml/v2023_ae49_5d64_2806_iso19115.xml,/erddap/info/v2023_ae49_5d64_2806/index,(local files),http://www.socat.info/,http://sour.pmel.noaa.gov:8930/erddap/rss/v2023_ae49_5d64_2806.rss,/erddap/subscriptions/add.html?datasetID=v2023_ae49_5d64_2806&showErrors=false&email=,,NaN,"Surface Ocean Carbon Atlas (SOCAT) Gridded (binned) SOCAT observations, masked for coastal data only, \nwith a spatial grid of quarter-degree and monthly in time. The gridded fields are computed using only \nSOCAT cruises with Quality Control (QC) flags of A through D and SOCAT data points flagged with World Ocean Circulation Experiment (WOCE) flag values of 2. \nThe grid is monthly in time and quarter-degree in longitude and latitude. A coastal mask is applied to \nmatch the 400-Km coastal region of the SOCAT database."
v2023_81d5_05c0_b8fb,public,INFO SOCAT,grid,Grid,EDDGridFromNcFiles,SOCAT gridded v2023 Yearly 1x1 degree gridded dataset,-179.5,179.5,1.0,-89.5,89.5,1.0,NaN,NaN,1970-07-02T12:00:00Z,2023-07-02T12:00:00Z,3.1557192452830188E7,/erddap/griddap/v2023_81d5_05c0_b8fb,,,/erddap/griddap/v2023_81d5_05c0_b8fb.graph,,,/erddap/wms/v2023_81d5_05c0_b8fb/request,/erddap/files/v2023_81d5_05c0_b8fb/,/erddap/metadata/fgdc/xml/v2023_81d5_05c0_b8fb_fgdc.xml,/erddap/metadata/iso19115/xml/v2023_81d5_05c0_b8fb_iso19115.xml,/erddap/info/v2023_81d5_05c0_b8fb/index,(local files),http://www.socat.info/,http://sour.pmel.noaa.gov:8930/erddap/rss/v2023_81d5_05c0_b8fb.rss,/erddap/subscriptions/add.html?datasetID=v2023_81d5_05c0_b8fb&showErrors=false&email=,,NaN,"Surface Ocean Carbon Atlas (SOCAT) Gridded (binned) SOCAT observations, with a spatial grid of \n1x1 degree and yearly in time. The gridded fields are computed from the monthly 1-degree gridded data, \nwhich uses only SOCAT datasets with Quality Control (QC) flags of A through D and SOCAT data points flagged with World Ocean Circulation Experiment (WOCE) \nflag values of 2. This yearly data is computed using data from the start to the end of each year as \ndescribed in the summary attribute of each variable."
v2024_2f5f_fb33_778a,public,INFO SOCAT,grid,Grid,EDDGridFromNcFiles,SOCAT gridded v2024 Monthly 1x1 degree gridded dataset,-179.5,179.5,1.0,-89.5,89.5,1.0,NaN,NaN,1970-01-16T12:00:00Z,2023-12-16T12:00:00Z,2629658.114374034,/erddap/griddap/v2024_2f5f_fb33_778a,,,/erddap/griddap/v2024_2f5f_fb33_778a.graph,,,/erddap/wms/v2024_2f5f_fb33_778a/request,/erddap/files/v2024_2f5f_fb33_778a/,/erddap/metadata/fgdc/xml/v2024_2f5f_fb33_778a_fgdc.xml,/erddap/metadata/iso19115/xml/v2024_2f5f_fb33_778a_iso19115.xml,/erddap/info/v2024_2f5f_fb33_778a/index,(local files),http://www.socat.info/,http://sour.pmel.noaa.gov:8930/erddap/rss/v2024_2f5f_fb33_778a.rss,/erddap/subscriptions/add.html?datasetID=v2024_2f5f_fb33_778a&showErrors=false&email=,,NaN,"Surface Ocean Carbon Atlas (SOCAT) Gridded (binned) SOCAT observations, with a spatial \ngrid of 1x1 degree and monthly in time. The gridded fields are computed using only SOCAT \ndatasets with Quality Control (QC) flags of A through D and SOCAT data points flagged with World Ocean Circulation Experiment (WOCE) flag values of 2."
v2024_2569_8155_db86,public,INFO SOCAT,grid,Grid,EDDGridFromNcFiles,SOCAT gridded v2024 Monthly quarter-degree Coastal gridded dataset,-179.875,179.875,0.25,-89.875,89.875,0.25,NaN,NaN,1970-01-16T12:00:00Z,2023-12-16T12:00:00Z,2629658.114374034,/erddap/griddap/v2024_2569_8155_db86,,,/erddap/griddap/v2024_2569_8155_db86.graph,,,/erddap/wms/v2024_2569_8155_db86/request,/erddap/files/v2024_2569_8155_db86/,/erddap/metadata/fgdc/xml/v2024_2569_8155_db86_fgdc.xml,/erddap/metadata/iso19115/xml/v2024_2569_8155_db86_iso19115.xml,/erddap/info/v2024_2569_8155_db86/index,(local files),http://www.socat.info/,http://sour.pmel.noaa.gov:8930/erddap/rss/v2024_2569_8155_db86.rss,/erddap/subscriptions/add.html?datasetID=v2024_2569_8155_db86&showErrors=false&email=,,NaN,"Surface Ocean Carbon Atlas (SOCAT) Gridded (binned) SOCAT observations, masked for coastal data only, \nwith a spatial grid of quarter-degree and monthly in time. The gridded fields are computed using only \nSOCAT cruises with Quality Control (QC) flags of A through D and SOCAT data points flagged with World Ocean Circulation Experiment (WOCE) flag values of 2. \nThe grid is monthly in time and quarter-degree in longitude and latitude. A coastal mask is applied to \nmatch the 400-Km coastal region of the SOCAT database."
v2024_6745_b93e_1ae1,public,INFO SOCAT,grid,Grid,EDDGridFromNcFiles,SOCAT gridded v2024 Yearly 1x1 degree gridded dataset,-179.5,179.5,1.0,-89.5,89.5,1.0,NaN,NaN,1970-07-02T12:00:00Z,2023-07-02T12:00:00Z,3.1557192452830188E7,/erddap/griddap/v2024_6745_b93e_1ae1,,,/erddap/griddap/v2024_6745_b93e_1ae1.graph,,,/erddap/wms/v2024_6745_b93e_1ae1/request,/erddap/files/v2024_6745_b93e_1ae1/,/erddap/metadata/fgdc/xml/v2024_6745_b93e_1ae1_fgdc.xml,/erddap/metadata/iso19115/xml/v2024_6745_b93e_1ae1_iso19115.xml,/erddap/info/v2024_6745_b93e_1ae1/index,(local files),http://www.socat.info/,http://sour.pmel.noaa.gov:8930/erddap/rss/v2024_6745_b93e_1ae1.rss,/erddap/subscriptions/add.html?datasetID=v2024_6745_b93e_1ae1&showErrors=false&email=,,NaN,"Surface Ocean Carbon Atlas (SOCAT) Gridded (binned) SOCAT observations, with a spatial grid of \n1x1 degree and yearly in time. The gridded fields are computed from the monthly 1-degree gridded data, \nwhich uses only SOCAT datasets with Quality Control (QC) flags of A through D and SOCAT data points flagged with World Ocean Circulation Experiment (WOCE) \nflag values of 2. This yearly data is computed using data from the start to the end of each year as \ndescribed in the summary attribute of each variable."
